NBIdent,Gemeinde,BFS-Nr,Grundbuch,zuständig,E-Mailadresse, CC: E-Mailadresse,AVGBS eingeführt
SO0200002421,Aedermannsdorf,2421,Aedermannsdorf,BSB + Partner,avgbs@bsb-partner.ch,urs.schor@bsb-partner.ch,1
SO0300002511,Aeschi (SO),2511,"Aeschi, Steinhof",W+H AG,avgbs@w-h.ch,reto.meile@w-h.ch,1
SO0200002541,Balm bei Günsberg,2541,Balm bei Günsberg,Emch+Berger AG Vermessungen,avgbs@emchberger.ch,dominik.cantaluppi@emchberger.ch,1
SO0200002422,Balsthal,2422,Balsthal,BSB + Partner,avgbs@bsb-partner.ch,urs.schor@bsb-partner.ch,1
SO0200002611,Bärschwil,2611,Bärschwil,Sutter Ingenieur- und Planungsbüro AG ,avgbs@sutter-ag.ch,dominik.kaegi@sutter-ag.ch,1
SO0200002471,Bättwil,2471,Bättwil,Sutter Ingenieur- und Planungsbüro AG ,avgbs@sutter-ag.ch,dominik.kaegi@sutter-ag.ch,1
SO0200002612,Beinwil (SO),2612,Beinwil,Sutter Ingenieur- und Planungsbüro AG ,avgbs@sutter-ag.ch,dominik.kaegi@sutter-ag.ch,1
SO0200002542,Bellach,2542,Bellach,Emch+Berger AG Vermessungen,avgbs@emchberger.ch,dominik.cantaluppi@emchberger.ch,1
SO0200002543,Bettlach,2543,Bettlach,BSB + Partner,avgbs@bsb-partner.ch,alexander.kohli@bsb-partner.ch,1
SO0200002513,Biberist,2513,Biberist,W+H AG,avgbs@w-h.ch,reto.meile@w-h.ch,1
SO0200002445,Biezwil,2445,Biezwil,Emch+Berger AG Vermessungen,avgbs@emchberger.ch,dominik.cantaluppi@emchberger.ch,1
SO0200002514,Bolken,2514,Bolken,W+H AG,avgbs@w-h.ch,reto.meile@w-h.ch,1
SO0200002571,Boningen,2571,Boningen,Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0200002613,Breitenbach,2613,Breitenbach,Sutter Ingenieur- und Planungsbüro AG ,avgbs@sutter-ag.ch,dominik.kaegi@sutter-ag.ch,1
SO0300002465,Buchegg,2465,"Aetigkofen, Aetingen, Bibern, Brügglen, Gossliwil, Hessigkofen, Küttigkofen, Kyburg-Buchegg, Mühledorf, Tscheppach",Emch+Berger AG Vermessungen,avgbs@emchberger.ch,dominik.cantaluppi@emchberger.ch,1
SO0200002472,Büren (SO),2472,Büren,Sutter Ingenieur- und Planungsbüro AG ,avgbs@sutter-ag.ch,dominik.kaegi@sutter-ag.ch,1
SO0200002614,Büsserach,2614,Büsserach,Sutter Ingenieur- und Planungsbüro AG ,avgbs@sutter-ag.ch,dominik.kaegi@sutter-ag.ch,1
SO0200002572,Däniken,2572,Däniken,Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0200002516,Deitingen,2516,Deitingen,W+H AG,avgbs@w-h.ch,reto.meile@w-h.ch,1
SO0200002517,Derendingen,2517,Derendingen,W+H AG,avgbs@w-h.ch,reto.meile@w-h.ch,1
SO0200002473,Dornach,2473,Dornach,Sutter Ingenieur- und Planungsbüro AG ,avgbs@sutter-ag.ch,dominik.kaegi@sutter-ag.ch,1
SO0300002535,Drei Höfe,2535,"Heinrichswil-Winistorf, Hersiwil",W+H AG,avgbs@w-h.ch,reto.meile@w-h.ch,1
SO0200002573,Dulliken,2573,Dulliken,Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0200002401,Egerkingen,2401,Egerkingen,BSB + Partner,avgbs@bsb-partner.ch,urs.schor@bsb-partner.ch,1
SO0200002574,Eppenberg-Wöschnau,2574,Eppenberg-Wöschnau,Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0300002503,Erlinsbach (SO),2503,"Niedererlinsbach, Obererlinsbach",Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0200002615,Erschwil,2615,Erschwil,Sutter Ingenieur- und Planungsbüro AG ,avgbs@sutter-ag.ch,dominik.kaegi@sutter-ag.ch,1
SO0200002518,Etziken,2518,Etziken,W+H AG,avgbs@w-h.ch,reto.meile@w-h.ch,1
SO0200002616,Fehren,2616,Fehren,Sutter Ingenieur- und Planungsbüro AG ,avgbs@sutter-ag.ch,dominik.kaegi@sutter-ag.ch,1
SO0200002544,Feldbrunnen-St. Niklaus,2544,Feldbrunnen,Emch+Berger AG Vermessungen,avgbs@emchberger.ch,dominik.cantaluppi@emchberger.ch,1
SO0200002545,Flumenthal,2545,Flumenthal,Emch+Berger AG Vermessungen,avgbs@emchberger.ch,dominik.cantaluppi@emchberger.ch,1
SO0200002575,Fulenbach,2575,Fulenbach,Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0200002423,Gänsbrunnen,2423,Gänsbrunnen,BSB + Partner,avgbs@bsb-partner.ch,urs.schor@bsb-partner.ch,1
SO0200002474,Gempen,2474,Gempen,Sutter Ingenieur- und Planungsbüro AG ,avgbs@sutter-ag.ch,dominik.kaegi@sutter-ag.ch,1
SO0200002519,Gerlafingen,2519,Gerlafingen,W+H AG,avgbs@w-h.ch,reto.meile@w-h.ch,1
SO0200002546,Grenchen,2546,Grenchen,BSB + Partner,avgbs@bsb-partner.ch,alexander.kohli@bsb-partner.ch,1
SO0200002576,Gretzenbach,2576,Gretzenbach,Lerch Weber AG,avgbs@lerch-weber.ch,armin.weber@lerch-weber.ch,1
SO0200002617,Grindel,2617,Grindel,Sutter Ingenieur- und Planungsbüro AG ,avgbs@sutter-ag.ch,dominik.kaegi@sutter-ag.ch,1
SO0200002547,Günsberg,2547,Günsberg,Emch+Berger AG Vermessungen,avgbs@emchberger.ch,dominik.cantaluppi@emchberger.ch,1
